s6.new.rev.p2.m2,s4.loc.ic.ins.p1,s8.mbl.p2,s2.rch.val.l67,s7.s4.day.no.mou.p2.p4,s3.new.rev.p3,s8.ic.mou.all.p3,s8.new.rev.p3,s8.rtd.mou.p3,s2.s4.day.no.mou.p3,s4.std.ins.l14,s4.loc.ins.l14,s4.data.ins.l14,s4.std.ic.ins.l14,target
-0.59,2,2.76,22.94,0.5,6.1,0.08,-0.81,-0.61,4.0,0,12,0,0,0
0.61,4,-1.44,60.67,0.090909091,4.01,0.0,0.0,-0.05,0.0,0,14,0,0,0
-0.04,4,6.59,147.5,0.0,19.89,0.27,-1.06,-1.07,0.0,4,14,0,3,0
0.87,4,0.0,147.5,99.0,21.32,-0.12,0.8,0.05,0.0,6,14,0,6,0
-0.95,1,0.0,22.298999999999996,0.466666667,2.2289999999999965,0.0,0.0,0.0,5.5,0,9,0,0,1
-0.45,4,-0.72,42.86,0.4,8.27,0.31,0.07,0.04,2.0,0,14,0,0,1
-0.64,4,-0.29,22.298999999999996,0.5,18.05,-0.17,-1.06,-1.07,0.0,0,13,0,0,1
-0.54,4,-3.55,107.4,1.0,7.5,-0.44,0.12,-0.23,0.0,0,14,12,0,0
-0.95,1,-0.63,32.17,99.0,20.93,0.05,-1.06,-1.07,0.0,0,9,0,0,1
-0.85,4,2.38,63.27,0.857142857,20.92,-0.04,-1.06,-1.07,5.5,5,14,1,5,1
0.25,4,-7.0,135.0,0.0,6.53,0.59,0.85,0.74,0.0,7,14,10,5,0
-0.95,4,-0.63,147.5,99.0,21.32,0.49,-1.06,0.76,0.0,1,14,0,0,0
-0.58,4,6.59,98.78,99.0,21.32,0.42,-0.29,-0.46,0.0,3,14,12,3,0
-0.66,3,-1.1,51.25,0.0,2.2289999999999965,-0.16,-0.23,-0.15,0.0,0,14,0,0,1
-0.49,2,-1.25,54.35,0.666666667,20.05,-0.6,-1.06,-1.07,2.0,1,12,0,0,0
-0.95,3,0.0,22.298999999999996,0.636363636,6.8,-0.72,-0.96,-0.87,5.5,1,13,0,1,1
-0.95,4,0.0,47.08,0.583333333,3.26,-0.1,-0.53,-0.49,5.0,1,14,12,1,0
0.87,1,-0.1,52.72,0.0,19.57,-0.07,-0.56,0.31,0.0,0,12,0,0,0
-0.22,3,-2.3,40.0,0.25,3.7,0.0,-0.05,-0.01,0.0,0,13,0,0,0
-0.95,1,0.0,122.67,99.0,21.32,0.0,-1.06,-0.46,0.0,0,14,0,0,1
-0.95,4,0.0,147.5,0.875,2.2289999999999965,0.05,-0.02,-0.44,5.5,0,12,12,0,1
-0.65,4,6.59,122.77,99.0,7.0,0.29,-0.34,-0.6,0.0,6,10,0,5,1
0.23,4,-7.0,93.5,0.0,8.99,-0.36,0.02,0.55,0.0,2,14,1,0,0
-0.19,1,-7.0,96.67,99.0,8.69,0.01,-0.37,0.23,0.0,0,14,0,0,0
0.03,4,0.28,33.31,99.0,8.42,0.32,0.79,-0.05,0.0,0,14,0,0,0
0.87,4,-1.79,22.298999999999996,0.0,8.52,0.28,-0.01,-1.07,0.0,7,12,1,6,0
-0.57,4,-2.44,147.5,0.25,2.96,-0.01,-0.15,-0.09,0.0,3,14,0,2,1
-0.95,1,0.0,29.33,0.4375,2.2289999999999965,-0.1,0.0,0.0,5.5,0,9,0,0,1
-0.95,3,-0.03,80.83,0.375,8.09,-0.72,-1.06,-1.07,3.5,0,13,0,0,1
-0.43,4,0.56,22.298999999999996,0.0,5.93,-0.72,0.77,0.76,2.0,0,14,3,0,0
0.01,4,-5.07,71.0,0.25,5.83,0.35,-0.01,-0.01,0.0,1,14,12,1,0
-0.95,1,-0.88,110.69,0.368421053,2.2289999999999965,0.0,0.0,0.0,5.5,0,9,12,0,0
-0.12,4,-2.59,95.67,99.0,8.88,-0.72,-0.09,-0.38,0.0,0,14,3,0,1
-0.38,4,5.21,106.18,99.0,21.32,0.59,-1.06,-1.07,0.0,1,14,0,1,0
-0.11,4,5.89,42.0,99.0,2.34,-0.11,-0.02,-0.08,0.0,0,14,0,0,0
-0.48,4,6.59,92.87,99.0,11.58,-0.27,-1.0,-1.07,0.0,8,14,0,3,0
-0.24,4,6.36,44.55,0.666666667,6.47,-0.17,-0.43,-0.39,2.0,0,14,0,0,0
0.87,4,2.61,59.0,99.0,7.78,0.59,0.85,0.76,0.0,0,14,1,0,0
-0.77,4,-0.52,28.8,99.0,5.05,-0.05,-0.67,-0.3,0.0,0,14,12,0,0
-0.95,4,0.0,29.07,0.0,2.2289999999999965,0.59,0.0,0.0,5.5,0,12,6,0,1
0.87,4,-4.24,147.5,0.428571429,7.38,-0.26,-0.33,-0.28,3.0,2,14,0,2,0
-0.09,4,0.59,25.45,0.666666667,9.07,-0.17,0.46,0.35,0.0,4,14,0,4,0
0.14,4,6.59,147.5,99.0,4.76,0.34,0.12,-0.11,0.0,0,14,0,0,0
0.37,2,-7.0,147.5,0.6,10.41,0.16,-0.37,-0.22,3.0,4,13,0,4,0
-0.63,4,-4.62,147.5,99.0,4.22,0.18,-0.22,-0.19,0.0,5,14,0,5,1
-0.51,2,0.92,32.5,0.3125,5.25,-0.72,-0.54,-0.34,3.5,0,12,0,0,0
-0.87,4,-4.23,147.5,1.0,5.32,0.04,-0.46,-0.84,2.0,6,14,12,6,1
0.24,4,0.8,22.298999999999996,0.066666667,11.71,0.04,-0.06,0.09,0.0,0,14,0,0,0
-0.94,3,-0.95,60.62,0.285714286,2.2289999999999965,-0.02,0.0,-0.02,3.0,0,11,0,0,1
-0.3,4,-7.0,144.28,99.0,13.43,-0.21,-1.06,-1.07,0.0,1,14,12,1,0
-0.68,4,0.0,95.71,0.0,12.52,0.16,-0.84,-1.07,0.0,9,13,11,3,0
0.43,4,-6.46,120.0,0.0,19.26,0.59,0.85,0.76,0.0,0,14,12,0,0
-0.59,4,-2.1,55.71,0.166666667,2.63,-0.37,-0.4,-0.27,0.0,1,14,0,0,0
-0.3,4,0.65,52.86,1.0,4.47,-0.69,0.23,0.4,0.0,0,14,5,0,1
0.87,4,1.9,105.78,99.0,19.57,-0.16,-0.43,0.12,0.0,2,14,0,0,0
-0.95,1,0.0,22.298999999999996,1.0,2.2289999999999965,-0.72,-0.02,-0.02,5.5,2,13,1,2,0
-0.56,4,-2.52,50.71,0.0,3.07,-0.2,-0.26,-0.49,0.0,5,9,0,5,1
-0.88,1,-0.52,66.0,0.555555556,18.95,-0.72,-1.06,-1.07,5.0,9,9,9,6,1
-0.11,4,6.59,147.5,99.0,13.46,-0.49,-0.12,-0.8,0.0,2,14,0,2,1
-0.95,4,0.0,147.5,0.411764706,2.2289999999999965,-0.45,0.0,0.0,5.5,1,14,12,1,1
0.14,2,-6.75,52.22,99.0,8.24,0.14,-0.28,-0.24,0.0,0,14,0,0,0
-0.95,1,0.0,139.88,0.35,2.2289999999999965,0.0,0.0,0.0,5.5,0,9,0,0,1
0.52,4,3.03,50.63,0.0,6.24,-0.72,-0.04,-0.12,0.0,0,14,2,0,0
0.39,4,-2.99,61.25,0.0,7.83,-0.2,0.25,0.17,0.0,2,14,0,0,0
-0.1,4,0.11,22.298999999999996,0.363636364,10.54,-0.04,0.0,-0.03,3.0,3,11,1,1,1
0.87,1,-3.97,43.38,0.0,11.59,-0.12,0.46,0.65,0.0,9,9,0,1,0
-0.12,4,0.12,111.25,99.0,6.89,-0.49,-0.22,-0.22,0.0,0,14,0,0,0
-0.54,1,5.01,38.0,0.428571429,9.49,-0.34,-1.06,-0.66,2.5,6,9,0,5,1
0.43,4,0.63,26.21,99.0,10.55,0.59,0.39,0.16,0.0,3,14,0,2,0
0.39,4,6.59,106.92,0.153846154,21.32,0.41,0.2,0.37,0.0,0,14,0,0,0
0.44,4,6.59,55.34,99.0,13.31,0.59,0.58,0.76,0.0,0,14,1,0,0
-0.51,3,-0.27,31.11,0.111111111,4.54,-0.07,0.03,0.07,3.0,0,12,0,0,0
0.87,2,5.18,52.0,0.153846154,17.02,0.59,0.85,0.76,5.0,2,9,0,1,0
0.08,3,-4.69,59.09,0.0,21.32,-0.71,0.25,-0.08,0.0,0,14,0,0,1
0.09,4,5.01,77.46,99.0,13.85,0.59,0.85,-0.2,0.0,9,14,0,6,1
-0.52,4,-3.81,49.23,1.0,5.97,-0.52,-0.33,-0.65,2.0,1,14,0,1,0
-0.1,1,-3.37,40.0,0.1875,3.1,-0.31,-0.13,-0.11,3.0,0,11,0,0,1
0.87,1,0.0,43.0,0.166666667,14.1,0.09,0.04,-0.25,0.0,0,14,0,0,0
0.0,4,6.51,35.22,0.333333333,16.57,0.25,0.48,0.43,2.0,0,14,2,0,1
-0.26,2,0.0,22.298999999999996,0.416666667,6.37,0.12,-0.36,-0.12,4.0,0,11,2,0,0
-0.49,3,3.93,60.17,99.0,6.52,-0.72,-0.7,-1.07,0.0,9,14,0,6,0
-0.7,3,-1.92,54.75,0.5,5.2,-0.04,-0.19,-0.85,2.5,9,10,1,6,1
-0.13,3,6.59,147.5,0.5,8.53,-0.04,0.02,0.14,0.0,0,13,12,0,0
-0.06,4,-7.0,76.67,0.0,8.8,0.35,-0.18,0.34,0.0,7,14,1,5,0
0.7,4,0.0,147.5,99.0,21.32,0.59,0.85,0.74,0.0,6,14,4,3,0
0.15,1,-0.73,22.298999999999996,0.0,2.92,0.02,0.0,0.0,3.0,1,14,0,1,0
-0.16,4,-6.54,49.17,0.5,5.9,-0.72,-0.32,-0.24,0.0,9,14,2,6,1
0.46,2,-2.45,41.67,0.166666667,6.3,0.05,-0.07,-0.05,2.0,0,13,7,0,1
-0.77,4,-3.94,48.5,99.0,14.64,0.09,-0.15,0.17,0.0,1,14,1,0,1
0.01,4,0.0,22.298999999999996,99.0,11.07,0.59,0.13,0.13,0.0,0,14,0,0,0
0.19,4,-0.64,50.0,0.25,8.65,0.24,0.13,0.27,2.0,9,14,0,6,0
-0.74,1,-3.9,69.29,0.0,3.85,0.0,-0.64,-1.07,0.0,0,14,1,0,0
0.13,2,-7.0,84.76,99.0,16.32,-0.03,0.5,0.36,0.0,9,10,0,6,1
0.53,4,1.16,57.5,99.0,13.48,-0.17,0.85,0.76,0.0,0,14,0,0,0
-0.25,3,-0.12,54.0,0.333333333,17.98,0.59,-0.47,-0.19,0.0,9,14,1,5,0
-0.95,1,0.0,22.298999999999996,0.318181818,2.2289999999999965,-0.03,0.0,0.0,5.5,0,9,0,0,1
-0.74,1,-0.96,41.36,0.6,7.0,-0.24,-0.95,-1.07,3.0,9,9,0,6,1
0.23,3,-7.0,43.5,0.333333333,8.51,-0.72,-0.42,-0.32,0.0,0,13,0,0,1
0.8,4,-2.14,23.2,0.5,5.38,-0.49,0.28,-0.07,0.0,3,14,0,2,0
0.15,4,3.31,49.33,0.0,8.16,-0.01,0.04,-0.09,0.0,0,14,0,0,0
0.87,4,1.85,33.18,0.25,13.15,-0.25,0.85,0.76,2.0,2,14,0,2,0
-0.08,4,4.84,120.91,99.0,9.28,0.14,-0.74,-0.52,0.0,1,14,1,1,0
0.16,3,4.26,40.0,0.333333333,2.64,0.06,0.08,0.02,0.0,0,14,0,0,0
0.87,4,5.39,88.75,99.0,21.32,-0.09,0.85,0.76,0.0,0,14,2,0,0
0.3,4,-0.94,62.23,0.333333333,11.37,-0.66,-0.79,-0.85,0.0,9,14,12,6,0
-0.95,1,0.0,25.0,0.411764706,2.2289999999999965,0.0,-0.02,-0.02,5.5,0,9,0,0,1
-0.57,2,1.15,41.95,0.666666667,8.53,-0.72,-1.06,-1.07,2.0,5,12,0,4,0
-0.29,1,-1.99,47.88,0.333333333,16.44,-0.72,-1.06,-1.07,3.0,9,9,0,6,1
0.38,4,-4.98,147.5,0.0,2.72,-0.47,-0.11,-0.09,0.0,0,14,1,0,1
-0.55,3,-2.13,44.44,1.0,8.18,-0.27,-0.09,0.3,0.0,9,14,0,6,0
0.87,4,0.24,32.97,99.0,15.62,-0.23,0.85,0.21,0.0,8,14,1,5,0
-0.95,4,0.0,74.38,0.0,2.2289999999999965,-0.19,-0.1,-0.22,0.0,2,14,0,2,1
0.87,1,1.98,50.0,0.0,7.2,-0.13,0.85,0.68,2.0,2,10,0,2,0
-0.73,3,-0.94,36.13,0.75,3.65,-0.72,-0.23,-0.18,3.0,0,13,0,0,1
0.87,4,-1.96,22.298999999999996,0.142857143,14.61,0.59,0.85,0.76,2.0,0,14,2,0,0
-0.45,4,6.59,147.5,1.0,7.13,-0.15,-0.46,-0.39,2.0,0,14,12,0,1
-0.93,4,0.0,66.85,99.0,2.2289999999999965,0.3,-0.07,-0.21,0.0,2,14,0,0,1
-0.72,4,0.0,147.5,0.0,6.69,0.59,0.0,-0.4,0.0,6,14,0,5,1
0.25,2,-1.44,27.27,0.153846154,4.74,0.27,-0.03,-0.05,3.0,1,10,2,1,0
0.04,4,-0.91,27.5,0.0,5.98,-0.08,0.41,0.06,3.0,0,14,0,0,0
-0.15,1,-2.88,89.95,99.0,18.65,-0.14,0.85,0.76,0.0,9,11,1,2,0
-0.95,4,-0.21,40.0,0.625,5.24,-0.4,-0.4,-0.24,2.0,0,14,0,0,1
0.29,4,1.9,55.0,0.333333333,5.87,-0.45,-0.06,-0.05,0.0,6,14,0,6,0
0.28,3,-7.0,147.5,0.0,19.61,-0.14,0.0,0.0,0.0,0,14,12,0,0
-0.95,1,1.02,30.0,0.333333333,2.51,-0.11,-0.24,-0.16,5.5,2,9,0,2,1
-0.31,4,-4.73,147.5,1.0,7.32,-0.15,-0.48,-0.2,0.0,0,14,12,0,0
-0.55,3,-2.1,22.298999999999996,0.25,5.43,-0.05,0.03,0.04,2.5,5,10,12,1,1
0.42,4,-6.28,46.29,0.0,10.13,-0.72,0.63,0.56,5.5,7,14,2,6,0
0.01,3,6.59,47.0,0.0,8.85,-0.2,-0.52,-0.47,0.0,0,14,2,0,0
0.79,4,6.59,46.13,99.0,9.46,-0.04,0.31,0.22,0.0,2,14,3,2,0
-0.57,4,0.85,64.42,0.0,21.32,0.59,-1.04,-1.07,0.0,8,12,0,5,1
-0.54,4,5.06,101.25,0.0,15.56,-0.19,-0.02,-0.56,2.0,0,14,0,0,0
-0.53,4,0.0,117.2,99.0,21.32,-0.07,-1.06,0.66,0.0,1,14,0,0,0
-0.42,4,-0.32,36.67,0.210526316,7.74,0.08,-0.43,-0.14,4.0,2,14,5,2,0
-0.57,1,0.99,27.67,99.0,2.2289999999999965,0.0,-0.04,0.76,0.0,0,9,0,0,1
0.54,4,6.59,92.43,99.0,6.99,0.32,0.05,-0.02,0.0,9,14,0,6,0
-0.35,1,-2.64,92.56,0.230769231,6.0,-0.72,-0.83,-1.07,3.0,9,11,11,6,1
-0.38,2,-2.29,22.298999999999996,0.272727273,3.93,0.03,-0.28,-0.17,0.0,1,10,0,1,1
-0.1,4,-0.85,45.71,99.0,12.88,-0.25,-0.5,-0.31,0.0,3,14,0,3,0
0.4,4,1.97,63.13,99.0,9.63,0.07,-0.1,0.03,0.0,1,14,12,1,0
-0.89,4,1.16,66.0,0.4,5.88,-0.15,-0.48,-0.36,2.0,0,14,0,0,1
-0.56,2,-3.48,35.29,0.1875,7.28,0.31,-0.01,0.03,2.5,0,10,0,0,0
0.22,4,0.0,147.5,0.0,21.32,-0.68,-0.59,0.6,0.0,6,14,0,2,0
0.06,4,6.59,92.55,99.0,13.54,-0.72,-0.55,-0.54,0.0,1,14,10,1,0
0.12,4,6.59,111.7,99.0,12.1,0.59,0.85,0.76,0.0,0,14,12,0,0
0.17,4,-0.34,107.54,0.0,21.32,0.36,0.85,0.76,0.0,0,13,0,0,0
0.09,4,0.28,22.298999999999996,0.263157895,9.72,-0.16,0.67,0.28,5.5,1,13,0,0,0
-0.23,4,1.89,56.35,99.0,7.71,0.59,0.08,-0.69,0.0,1,14,12,1,0
-0.55,4,-2.5,46.0,1.0,4.14,-0.07,-0.33,-0.91,2.0,0,14,0,0,1
0.08,3,2.41,78.38,99.0,21.32,-0.41,0.06,-0.04,0.0,0,14,0,0,0
-0.4,4,-1.38,67.89,1.0,13.63,-0.39,-0.49,-0.75,0.0,9,13,0,6,1
0.26,4,-7.0,73.33,99.0,12.04,0.4,0.85,0.76,0.0,0,14,0,0,0
0.13,4,6.59,96.0,99.0,3.8,-0.09,-0.14,-0.2,0.0,7,14,0,5,0
0.87,4,-0.31,34.06,0.142857143,21.32,0.59,0.85,0.76,0.0,0,13,0,0,0
0.49,4,-7.0,147.5,0.0,14.24,-0.41,0.04,-0.05,0.0,1,14,0,0,0
-0.27,4,-7.0,147.5,99.0,14.93,-0.36,-0.88,-0.72,0.0,9,14,0,6,0
-0.19,3,0.38,22.298999999999996,0.5,3.4,-0.28,-0.14,-0.12,0.0,0,14,0,0,0
-0.29,4,2.58,55.88,99.0,3.81,-0.01,-0.13,-0.32,0.0,1,14,0,1,0
-0.34,4,-1.02,71.27,0.666666667,16.98,0.08,0.03,-0.5,2.0,1,14,0,1,1
0.73,2,-3.51,106.25,0.142857143,10.83,-0.52,0.21,0.19,3.0,0,12,1,0,0
-0.36,2,-5.84,42.14,0.181818182,6.4,0.41,0.63,0.76,2.0,9,10,0,5,0
0.24,2,-1.15,22.298999999999996,0.166666667,5.0,-0.04,0.2,-0.02,0.0,0,13,0,0,0
0.29,4,-1.43,47.0,0.0,7.78,-0.68,-0.16,-0.23,0.0,3,14,1,3,1
-0.36,4,6.59,147.5,1.0,10.97,0.59,0.67,0.54,0.0,9,14,12,6,0
-0.41,1,6.59,51.35,0.1,19.55,-0.72,-1.06,-1.07,0.0,9,10,1,6,0
0.71,4,-2.23,22.298999999999996,0.0,5.75,-0.35,0.24,0.2,0.0,9,14,2,6,0
-0.68,4,-1.25,23.25,1.0,2.2289999999999965,0.05,0.02,-0.08,0.0,0,14,1,0,0
-0.19,4,-1.13,134.55,99.0,6.93,-0.64,-0.28,-0.26,0.0,2,14,0,1,0
-0.5,4,-7.0,147.5,99.0,8.72,-0.22,-0.81,-0.68,0.0,1,14,12,1,0
-0.13,4,-0.7,41.0,99.0,13.9,-0.72,-1.06,-1.07,0.0,0,14,0,0,0
-0.08,4,-0.96,60.42,99.0,9.86,-0.72,0.85,0.76,0.0,0,14,0,0,0
-0.91,4,0.0,30.0,0.545454546,5.6,-0.18,-0.31,-0.24,5.5,0,14,0,0,1
0.87,3,6.59,52.26,0.0,15.69,0.54,0.85,-0.43,0.0,9,14,3,6,0
0.87,3,4.9,53.18,0.0,21.32,0.03,-1.06,0.19,0.0,0,14,7,0,0
-0.7,1,0.27,22.298999999999996,0.4,2.2289999999999965,-0.33,-0.11,-0.33,0.0,0,12,1,0,1
0.25,1,-7.0,95.0,0.0,6.39,-0.24,0.84,0.76,0.0,9,9,12,6,1
-0.83,3,4.61,147.5,99.0,21.32,-0.72,-1.06,-1.07,0.0,9,13,12,6,1
0.22,4,-1.99,23.13,0.0,4.18,0.59,0.22,0.17,0.0,0,14,0,0,0
-0.58,4,1.11,22.298999999999996,0.0,3.04,-0.57,-0.28,-0.23,0.0,0,14,0,0,0
0.41,4,3.81,36.5,0.5,5.13,0.41,0.31,-0.3,0.0,0,14,0,0,0
0.01,4,6.59,77.08,99.0,7.1,0.15,0.07,0.05,0.0,0,14,0,0,1
-0.45,4,0.65,22.298999999999996,0.1,2.2289999999999965,0.38,-0.01,0.01,2.0,1,13,1,0,1
0.02,4,2.74,33.86,99.0,21.32,0.59,-0.32,0.02,0.0,0,14,0,0,0
0.38,3,-1.22,45.33,0.0,5.53,0.12,0.39,0.23,0.0,2,14,0,1,0
-0.84,2,-0.66,37.0,0.25,2.2289999999999965,-0.06,0.06,0.05,5.5,0,9,0,0,1
0.87,3,-5.02,46.67,0.083333333,6.92,0.2,0.2,0.13,3.0,8,14,0,3,1
0.25,4,-2.07,46.4,99.0,12.23,-0.05,0.85,0.54,0.0,9,13,0,5,0
-0.12,3,6.59,147.5,1.0,15.28,-0.61,-0.18,-0.19,0.0,1,14,0,1,0
0.47,4,5.64,80.67,0.0,7.9,-0.28,0.32,0.34,0.0,1,14,0,1,0
-0.46,4,-4.86,60.0,99.0,5.65,-0.08,-0.36,-0.28,0.0,0,14,1,0,0
-0.2,3,1.68,22.298999999999996,0.3,6.04,0.59,0.14,-0.05,2.0,0,14,0,0,0
0.85,4,-1.01,29.38,0.0,8.66,0.42,0.79,0.33,5.5,2,9,0,2,1
-0.58,2,-5.05,68.2,0.25,11.22,0.59,-0.59,0.08,2.0,9,14,0,6,1
-0.95,4,-0.05,26.83,0.416666667,2.2289999999999965,0.09,-0.05,-0.08,2.5,0,14,0,0,1
-0.22,4,1.37,142.0,0.111111111,9.3,-0.72,0.12,0.05,0.0,9,12,12,6,0
0.87,1,1.71,22.298999999999996,0.25,8.69,-0.72,0.85,0.48,2.5,8,9,3,5,0
-0.32,4,-1.18,48.75,0.0,13.01,-0.33,-0.85,-0.62,0.0,0,14,0,0,0
-0.18,4,-7.0,64.07,99.0,8.34,0.59,0.19,0.18,0.0,9,14,0,6,1
-0.31,4,-4.18,51.88,0.333333333,5.87,-0.16,0.02,0.19,2.0,1,14,0,1,0
-0.56,4,-1.47,30.0,0.333333333,2.77,-0.03,-0.07,-0.06,2.0,0,14,0,0,1
0.16,3,0.97,22.298999999999996,0.666666667,4.61,0.02,0.12,-0.07,2.0,1,14,1,1,0
-0.95,1,0.0,35.0,0.28,2.2289999999999965,0.0,0.0,0.0,5.5,0,9,0,0,1
-0.95,4,0.0,104.14,0.5,2.2289999999999965,-0.47,-0.02,-0.01,5.5,0,12,2,0,1
0.0,4,-2.88,76.85,0.0,21.32,-0.72,0.76,0.76,0.0,9,14,12,6,0
-0.04,4,-1.12,38.33,0.5,13.8,-0.67,-1.06,-0.48,0.0,0,14,1,0,0
0.87,4,0.0,147.5,99.0,21.32,-0.39,0.44,-0.59,0.0,2,14,0,0,0
0.08,4,1.08,31.17,0.0,15.33,0.59,0.85,0.64,2.0,6,14,12,5,0
-0.95,3,0.0,31.0,1.0,9.22,0.02,-1.06,-1.07,5.5,0,13,0,0,1
-0.73,2,-2.06,147.5,99.0,15.99,-0.21,-1.06,-0.07,0.0,9,9,9,6,1
0.8,4,0.0,147.5,99.0,21.32,0.1,0.85,0.76,0.0,3,14,0,2,0
0.87,4,0.0,38.8,0.05,13.12,0.07,0.62,0.76,5.5,0,13,0,0,0
0.87,4,4.0,22.81,0.166666667,9.35,0.36,0.54,0.25,0.0,0,14,0,0,0
-0.81,3,-0.36,40.0,0.307692308,2.2289999999999965,0.0,-0.02,-0.02,2.33,0,13,0,0,1
0.11,4,-0.44,36.47,0.0,11.22,0.16,-0.29,-0.28,0.0,2,14,6,2,0
0.33,3,0.99,63.33,0.0,21.32,-0.36,-1.06,-1.07,0.0,9,12,0,6,1
0.87,2,-7.0,95.82,0.0,21.32,0.59,0.85,0.76,0.0,9,13,0,6,0
0.64,4,3.29,43.33,0.090909091,4.7,-0.72,-0.4,-0.37,0.0,0,14,0,0,0
0.31,2,-7.0,147.5,99.0,5.67,-0.07,0.44,0.39,0.0,1,14,0,0,0
-0.4,1,-0.08,25.33,0.333333333,6.63,-0.6,-0.66,-0.32,3.0,0,11,0,0,1
-0.95,4,-0.02,130.0,0.545454546,6.65,-0.09,-0.79,-0.64,5.5,0,14,0,0,1
-0.36,4,-7.0,147.5,99.0,21.32,0.59,-0.23,0.76,0.0,0,14,12,0,1
0.87,4,3.75,75.86,99.0,12.9,0.59,0.85,0.76,0.0,9,14,12,6,0
-0.4,4,1.93,41.48,99.0,8.96,-0.62,-0.2,-0.36,0.0,6,13,0,6,0
-0.17,4,6.59,67.56,99.0,17.96,-0.42,-0.67,-1.07,0.0,9,14,0,6,1
0.87,4,1.12,22.298999999999996,0.142857143,12.87,0.14,0.85,0.72,3.0,9,13,0,5,0
0.87,4,0.55,29.44,0.0,17.0,0.59,0.85,0.76,0.0,0,14,0,0,0
-0.9,4,-0.08,53.45,0.0,21.32,0.56,-1.06,-0.5,0.0,1,14,0,1,1
-0.09,4,-3.44,33.75,0.166666667,4.24,0.02,-0.22,-0.13,0.0,0,14,1,0,0
-0.57,3,-2.06,37.82,1.0,3.27,-0.72,-0.02,-0.17,2.0,0,14,1,0,0
0.87,4,6.59,77.06,99.0,14.16,-0.31,0.85,0.76,0.0,3,14,12,2,0
0.87,4,0.03,32.78,0.0,3.15,0.59,0.17,0.16,3.0,0,14,0,0,0
0.87,4,-1.17,22.298999999999996,0.166666667,11.62,0.54,-0.02,-0.07,0.0,0,14,0,0,0
-0.63,4,0.0,147.5,0.0,21.32,0.44,-1.06,0.15,0.0,0,14,9,0,0
-0.18,4,-0.2,52.56,0.111111111,13.28,-0.36,-1.01,-0.77,0.0,1,14,0,0,1
-0.88,2,0.0,23.1,0.315789474,2.5,-0.16,-0.1,-0.06,4.0,2,10,0,2,1
0.51,4,-0.33,22.298999999999996,0.0,21.32,0.59,-0.39,-1.07,0.0,9,14,8,6,0
-0.15,4,0.78,64.17,99.0,14.73,-0.72,-1.06,-0.98,0.0,9,14,1,6,0
0.87,2,-2.21,53.47,0.5,21.32,0.24,0.85,-0.07,0.0,9,12,0,4,0
-0.47,4,5.97,74.33,0.0,4.55,-0.49,-0.01,0.13,0.0,9,14,4,6,1
0.41,4,-3.43,88.11,0.0,5.39,-0.47,0.43,0.02,0.0,1,14,12,1,0
-0.68,3,-2.05,22.298999999999996,0.230769231,2.28,0.0,0.1,0.08,5.0,0,12,0,0,0
0.76,3,-1.66,144.86,0.333333333,21.29,0.02,0.84,-0.09,0.0,1,14,12,0,0
-0.95,1,0.0,76.67,0.368421053,4.54,-0.04,-0.56,-0.54,5.5,0,9,0,0,0
-0.23,4,6.59,98.89,0.0,14.58,0.59,-0.75,-0.45,0.0,0,14,12,0,0
0.87,4,-4.59,31.41,99.0,16.14,0.59,0.85,0.76,0.0,2,14,3,0,0
-0.05,4,-7.0,90.0,99.0,7.79,-0.24,-0.47,-0.3,0.0,6,14,0,5,0
0.38,4,1.73,53.14,99.0,8.8,-0.27,0.64,0.18,0.0,8,14,12,6,0
-0.8,3,-0.89,45.83,99.0,12.63,0.01,-0.69,-0.59,0.0,0,12,2,0,1
-0.45,4,-2.37,65.22,1.0,15.3,0.26,-0.66,-0.88,4.0,0,14,0,0,1
0.87,2,-0.57,35.0,0.0,6.28,0.19,0.36,0.29,0.0,0,14,0,0,0
0.81,4,-2.12,82.0,0.0,9.08,0.08,0.83,0.66,0.0,0,14,0,0,0
-0.54,4,-4.03,65.25,99.0,10.98,0.59,-0.41,-0.61,0.0,6,14,1,4,1
-0.05,4,-3.62,61.0,0.0,3.27,0.06,-0.04,-0.21,0.0,0,14,11,0,0
0.13,3,-7.0,43.33,0.166666667,7.67,-0.72,0.35,0.43,2.0,0,14,0,0,0
-0.09,4,6.59,132.0,99.0,21.32,0.39,0.04,0.02,0.0,5,14,7,3,0
0.11,4,0.0,51.33,99.0,18.26,0.19,0.85,0.76,0.0,0,14,0,0,0
-0.76,4,0.0,29.33,0.0,7.28,-0.72,-0.93,-0.89,0.0,0,13,0,0,1
-0.54,4,-3.71,48.33,1.0,12.27,0.34,-0.67,-0.16,0.0,0,14,1,0,0
-0.95,1,0.0,52.67,0.411764706,2.2289999999999965,0.0,0.0,0.0,5.5,0,9,0,0,0
-0.95,1,0.0,32.0,0.375,6.47,-0.07,-0.3,-0.07,5.0,0,9,0,0,1
-0.67,2,-4.0,147.5,0.333333333,21.32,-0.08,-1.06,-1.07,3.0,2,11,0,2,1
-0.37,3,6.59,48.4,99.0,2.2289999999999965,-0.08,-0.08,-0.21,0.0,3,14,0,3,0
0.79,4,0.0,147.5,99.0,21.32,0.59,0.85,0.76,0.0,9,14,0,4,0
-0.4,2,6.59,88.34,1.0,20.03,-0.72,-0.24,-1.07,0.0,9,9,12,6,0
